"specie";"indiv";"stage";"comp";"lettre_bulk";"ind_bulk";"col_specie";"col_stage";"col_comp";"type";"comp2";"pch_comp";"pch_specie";"col_type";"pch_type";"spe_comp";"comp_stage";"pch_stage";"spe_stage";"spe_ind";"time";"col_spe_stage"
"Pf_35_S3_R";"Pf";"35";"S3";"R";NA;NA;"gold";"red";"green";"wild";"R";"15";"18";"blue";"15";"Pf_R";"R_S3";"19";"Pf_S3";"Pf_35";49;"gold"
"Pf_35_S3_Rp";"Pf";"35";"S3";"Rp";NA;NA;"gold";"red";"blue";"wild";"Rp";"17";"18";"blue";"15";"Pf_Rp";"Rp_S3";"19";"Pf_S3";"Pf_35";49;"gold"
"Pf_4_S3_E";"Pf";"4";"S3";"E";NA;NA;"gold";"red";"purple";"wild";"E";"18";"18";"blue";"15";"Pf_E";"E_S3";"19";"Pf_S3";"Pf_4";49;"gold"
"Pf_4_S3_R";"Pf";"4";"S3";"R";NA;NA;"gold";"red";"green";"wild";"R";"15";"18";"blue";"15";"Pf_R";"R_S3";"19";"Pf_S3";"Pf_4";49;"gold"
"Pf_4_S3_Rp_1";"Pf";"4";"S3";"Rp";"1";NA;"gold";"red";"blue";"wild";"Rp";"17";"18";"blue";"15";"Pf_Rp";"Rp_S3";"19";"Pf_S3";"Pf_4";49;"gold"
"Pf_NA_S2_Bulk_A";"Pf";"NA";"S2";"Bulk";"A";NA;"gold";"blue";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S2";"18";"Pf_S2";"Pf_NA";NA;"gold"
"Pf_NA_S1_Bulk_B_2";"Pf";"NA";"S1";"Bulk";"B";"2";"gold";"green";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S1";"17";"Pf_S1";"Pf_NA";NA;"gold"
"Pf_NA_S2_Bulk_B";"Pf";"NA";"S2";"Bulk";"B";NA;"gold";"blue";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S2";"18";"Pf_S2";"Pf_NA";NA;"gold"
"Pf_NA_S1_Bulk_A_2";"Pf";"NA";"S1";"Bulk";"A";"2";"gold";"green";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S1";"17";"Pf_S1";"Pf_NA";NA;"gold"
"Pf_NA_S3_Bulk_A_2";"Pf";"NA";"S3";"Bulk";"A";"2";"gold";"red";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S3";"19";"Pf_S3";"Pf_NA";NA;"gold"
"Pf_NA_S3_Bulk_B_2";"Pf";"NA";"S3";"Bulk";"B";"2";"gold";"red";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S3";"19";"Pf_S3";"Pf_NA";NA;"gold"
"Pf_NA_S0_Bulk_A_2";"Pf";"NA";"S0";"Bulk";"A";"2";"gold";"black";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S0";"15";"Pf_S0";"Pf_NA";NA;NA
"Pf_NA_S0_Bulk_B_2";"Pf";"NA";"S0";"Bulk";"B";"2";"gold";"black";"orange";"wild";"Bulk";"8";"18";"blue";"15";"Pf_Bulk";"Bulk_S0";"15";"Pf_S0";"Pf_NA";NA;NA
"Ps_10_S2_E";"Ps";"10";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_10";38;"green"
"Ps_10_S2_R";"Ps";"10";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_10";38;"green"
"Ps_10_S2_Rp";"Ps";"10";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_10";38;"green"
"Ps_13_S3_E";"Ps";"13";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_13";48;"green"
"Ps_13_S3_R_2";"Ps";"13";"S3";"R";"2";NA;"green";"red";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S3";"19";"Ps_S3";"Ps_13";48;"green"
"Ps_13_S3_Rp_1";"Ps";"13";"S3";"Rp";"1";NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_13";48;"green"
"Ps_14_S1_E";"Ps";"14";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_14";24;"green"
"Ps_14_S1_R";"Ps";"14";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_14";24;"green"
"Ps_14_S1_Rp";"Ps";"14";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_14";24;"green"
"Ps_16_S1_E";"Ps";"16";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_16";24;"green"
"Ps_16_S1_R";"Ps";"16";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_16";24;"green"
"Ps_16_S1_Rp";"Ps";"16";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_16";24;"green"
"Ps_17_S1_E";"Ps";"17";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_17";24;"green"
"Ps_17_S1_Rp";"Ps";"17";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_17";24;"green"
"Ps_19_S2_E";"Ps";"19";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_19";38;"green"
"Ps_19_S2_R";"Ps";"19";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_19";38;"green"
"Ps_19_S2_Rp";"Ps";"19";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_19";38;"green"
"Ps_20_S1_E";"Ps";"20";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_20";24;"green"
"Ps_20_S1_R";"Ps";"20";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_20";24;"green"
"Ps_20_S1_Rp";"Ps";"20";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_20";24;"green"
"Ps_21_S3_E";"Ps";"21";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_21";48;"green"
"Ps_21_S3_Rp_1";"Ps";"21";"S3";"Rp";"1";NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_21";48;"green"
"Ps_22_S3_E";"Ps";"22";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_22";48;"green"
"Ps_22_S3_R";"Ps";"22";"S3";"R";NA;NA;"green";"red";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S3";"19";"Ps_S3";"Ps_22";48;"green"
"Ps_22_S3_Rp";"Ps";"22";"S3";"Rp";NA;NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_22";48;"green"
"Ps_24_S1_E";"Ps";"24";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_24";24;"green"
"Ps_24_S1_R";"Ps";"24";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_24";24;"green"
"Ps_24_S1_Rp";"Ps";"24";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_24";24;"green"
"Ps_26_S2_E";"Ps";"26";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_26";38;"green"
"Ps_26_S2_R";"Ps";"26";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_26";38;"green"
"Ps_26_S2_Rp";"Ps";"26";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_26";38;"green"
"Ps_27_S1_R";"Ps";"27";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_27";38;"green"
"Ps_27_S2_E";"Ps";"27";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_27";38;"green"
"Ps_27_S2_R";"Ps";"27";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_27";38;"green"
"Ps_27_S2_Rp";"Ps";"27";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_27";38;"green"
"Ps_28_S1_E";"Ps";"28";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_28";24;"green"
"Ps_28_S1_R";"Ps";"28";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_28";24;"green"
"Ps_28_S1_Rp";"Ps";"28";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_28";24;"green"
"Ps_30_S1_E";"Ps";"30";"S1";"E";NA;NA;"green";"green";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S1";"17";"Ps_S1";"Ps_30";24;"green"
"Ps_30_S1_R";"Ps";"30";"S1";"R";NA;NA;"green";"green";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S1";"17";"Ps_S1";"Ps_30";24;"green"
"Ps_30_S1_Rp";"Ps";"30";"S1";"Rp";NA;NA;"green";"green";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S1";"17";"Ps_S1";"Ps_30";24;"green"
"Ps_31_S3_E";"Ps";"31";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_31";48;"green"
"Ps_31_S3_R";"Ps";"31";"S3";"R";NA;NA;"green";"red";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S3";"19";"Ps_S3";"Ps_31";48;"green"
"Ps_31_S3_Rp_1";"Ps";"31";"S3";"Rp";"1";NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_31";48;"green"
"Ps_33_S3_E";"Ps";"33";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_33";48;"green"
"Ps_33_S3_R";"Ps";"33";"S3";"R";NA;NA;"green";"red";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S3";"19";"Ps_S3";"Ps_33";48;"green"
"Ps_33_S3_Rp_1";"Ps";"33";"S3";"Rp";"1";NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_33";48;"green"
"Ps_35_S2_E";"Ps";"35";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_35";38;"green"
"Ps_35_S2_R";"Ps";"35";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_35";38;"green"
"Ps_35_S2_Rp";"Ps";"35";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_35";38;"green"
"Ps_4_S2_E";"Ps";"4";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_4";38;"green"
"Ps_4_S2_R";"Ps";"4";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_4";38;"green"
"Ps_4_S2_Rp";"Ps";"4";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_4";38;"green"
"Ps_5_S2_E";"Ps";"5";"S2";"E";NA;NA;"green";"blue";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S2";"18";"Ps_S2";"Ps_5";38;"green"
"Ps_5_S2_R";"Ps";"5";"S2";"R";NA;NA;"green";"blue";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S2";"18";"Ps_S2";"Ps_5";38;"green"
"Ps_5_S2_Rp";"Ps";"5";"S2";"Rp";NA;NA;"green";"blue";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S2";"18";"Ps_S2";"Ps_5";38;"green"
"Ps_7_S3_E";"Ps";"7";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_7";48;"green"
"Ps_7_S3_R";"Ps";"7";"S3";"R";NA;NA;"green";"red";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S3";"19";"Ps_S3";"Ps_7";48;"green"
"Ps_7_S3_Rp_1";"Ps";"7";"S3";"Rp";"1";NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_7";48;"green"
"Ps_8_S3_E";"Ps";"8";"S3";"E";NA;NA;"green";"red";"purple";"domesticated";"E";"18";"17";"red";"19";"Ps_E";"E_S3";"19";"Ps_S3";"Ps_8";48;"green"
"Ps_8_S3_R";"Ps";"8";"S3";"R";NA;NA;"green";"red";"green";"domesticated";"R";"15";"17";"red";"19";"Ps_R";"R_S3";"19";"Ps_S3";"Ps_8";48;"green"
"Ps_8_S3_Rp_1";"Ps";"8";"S3";"Rp";"1";NA;"green";"red";"blue";"domesticated";"Rp";"17";"17";"red";"19";"Ps_Rp";"Rp_S3";"19";"Ps_S3";"Ps_8";48;"green"
"Ps_NA_S2_Bulk_A";"Ps";"NA";"S2";"Bulk";"A";NA;"green";"blue";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S2";"18";"Ps_S2";"Ps_NA";NA;"green"
"Ps_NA_S3_Bulk_A";"Ps";"NA";"S3";"Bulk";"A";NA;"green";"red";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S3";"19";"Ps_S3";"Ps_NA";NA;"green"
"Ps_NA_S1_Bulk_B";"Ps";"NA";"S1";"Bulk";"B";NA;"green";"green";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S1";"17";"Ps_S1";"Ps_NA";NA;"green"
"Ps_NA_S2_Bulk_B";"Ps";"NA";"S2";"Bulk";"B";NA;"green";"blue";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S2";"18";"Ps_S2";"Ps_NA";NA;"green"
"Ps_NA_S1_Bulk_A_2";"Ps";"NA";"S1";"Bulk";"A";"2";"green";"green";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S1";"17";"Ps_S1";"Ps_NA";NA;"green"
"Ps_NA_S3_Bulk_B_2";"Ps";"NA";"S3";"Bulk";"B";"2";"green";"red";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S3";"19";"Ps_S3";"Ps_NA";NA;"green"
"Ps_NA_S0_Bulk_A_2";"Ps";"NA";"S0";"Bulk";"A";"2";"green";"black";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S0";"15";"Ps_S0";"Ps_NA";NA;NA
"Ps_NA_S0_Bulk_B_2";"Ps";"NA";"S0";"Bulk";"B";"2";"green";"black";"orange";"domesticated";"Bulk";"8";"17";"red";"19";"Ps_Bulk";"Bulk_S0";"15";"Ps_S0";"Ps_NA";NA;NA
